name,type,twitter,web
Brian Abelson,person,brianabelson,http://brianabelson.org
Andrew Hill,person,andrewxhill,http://vizzuality.com
Julian Burgess,person,aubergene,
Susan McGregor,person,SusanEMcG,
Beth Morrissey,person,Bethels,
Michael Keller,person,mhkeller,
Thomas Levine,person,thomaslevine,http://www.thomaslevine.com
Cezary Podkul,person,Cezary,
Jake Bialer,person,jbialer,
Christopher Reed,person,seereadnow,http://seeread.info
Story Ark,project,,https://csvsoundsystem.github.com/storyark
Hipstogram,project,,https://github.com/csvsoundsystem/hipstogram
fms soundsystem,project,,https://csvsoundsystem.github.com/fms-treasury-statements-site
csv soundsystem,project,,https://github.com/csvsoundsystem/csvsoundsystem
